Time, Lat, Long
2015/03/10-07:12,24.29787000,62.00399000
2015/03/10-07:12,24.29458000,61.98094000
2015/03/10-07:12,24.29151000,61.96166000
2015/03/10-07:12,24.28513000,61.92012000
2015/03/10-07:12,24.28091000,61.89835000
2015/03/10-07:12,24.27703000,61.87463000
2015/03/10-07:12,24.27440000,61.85455000
2015/03/10-07:12,24.26695000,61.81303000
2015/03/10-07:12,24.26469000,61.79148000
2015/03/10-07:12,24.26264000,61.77213000
2015/03/10-07:12,24.26008000,61.75063000
2015/03/10-07:12,24.25335000,61.71004000
2015/03/10-07:12,24.24839000,61.69088000
2015/03/10-07:12,24.24396000,61.67256000
2015/03/10-07:12,24.23767000,61.65068000
2015/03/10-07:12,24.22728000,61.61032000
2015/03/10-07:12,24.22395000,61.59230000
2015/03/10-07:12,24.21880000,61.57080000
2015/03/10-07:12,24.20826000,61.53108000
2015/03/10-07:12,24.20288000,61.51130000
2015/03/10-07:12,24.19718000,61.49012000
2015/03/10-07:12,24.19255000,61.47177000
2015/03/10-07:12,24.18141000,61.42992000
2015/03/10-07:12,24.17715000,61.41208000
2015/03/10-07:12,24.17140000,61.39219000
2015/03/10-07:12,24.16601000,61.37233000
2015/03/10-07:12,24.15515000,61.33246000
2015/03/10-07:12,24.14797000,61.30884000
2015/03/10-07:12,24.14246000,61.28886000
2015/03/10-07:12,24.13781000,61.26913000
2015/03/10-07:12,24.12724000,61.22906000
2015/03/10-07:12,24.12142000,61.20926000
2015/03/10-07:12,24.11546000,61.18890000
2015/03/10-07:12,24.10979000,61.16979000
2015/03/10-07:12,24.09803000,61.12922000
2015/03/10-07:12,24.09248000,61.10970000
2015/03/10-07:12,24.08838000,61.09173000
2015/03/10-07:12,24.08325000,61.07011000
2015/03/10-07:12,24.07266000,61.02956000
2015/03/10-07:12,24.06726000,61.00936000
2015/03/10-07:12,24.06070000,60.98780000
2015/03/10-07:12,24.05471000,60.96798000
2015/03/10-07:12,24.04419000,60.92984000
2015/03/10-07:12,24.03952000,60.91057000
2015/03/10-07:12,24.03697000,60.88805000
2015/03/10-07:12,24.03446000,60.87031000
2015/03/10-07:12,24.03083000,60.82986000
2015/03/10-07:12,24.02934000,60.81063000
2015/03/10-07:12,24.02718000,60.79058000
2015/03/10-07:12,24.02483000,60.77109000
2015/03/10-07:12,24.01997000,60.73138000
2015/03/10-07:12,24.01778000,60.71183000
2015/03/10-07:12,24.01593000,60.69170000
2015/03/10-07:12,24.01405000,60.67275000
2015/03/10-07:12,24.01108000,60.63461000
2015/03/10-07:12,24.00729000,60.61502000
2015/03/10-07:12,24.00337000,60.59546000
2015/03/10-07:12,23.99926000,60.57613000
2015/03/10-07:12,23.99165000,60.53781000
2015/03/10-07:12,23.98781000,60.51896000
2015/03/10-07:12,23.98374000,60.49924000
2015/03/10-07:12,23.98011000,60.48119000
2015/03/10-07:12,23.97281000,60.44277000
2015/03/10-07:12,23.96957000,60.42501000
2015/03/10-07:12,23.96614000,60.40623000
2015/03/10-07:12,23.96245000,60.38646000
2015/03/10-07:12,23.95576000,60.34916000
2015/03/10-07:12,23.95287000,60.33244000
2015/03/10-07:12,23.94972000,60.31380000
2015/03/10-07:12,23.94671000,60.29550000
2015/03/10-07:12,23.94066000,60.25816000
2015/03/10-07:12,23.93780000,60.23930000
2015/03/10-07:12,23.93494000,60.22046000
2015/03/10-07:12,23.93323000,60.20140000
2015/03/10-07:12,23.92401000,60.16452000
2015/03/10-07:12,23.91881000,60.14598000
2015/03/10-07:12,23.91492000,60.12728000
2015/03/10-07:12,23.91080000,60.10868000
2015/03/10-07:12,23.90393000,60.07166000
2015/03/10-07:12,23.90032000,60.05338000
2015/03/10-07:12,23.89733000,60.03512000
2015/03/10-07:12,23.89522000,60.01712000
2015/03/10-07:12,23.88836000,59.98193000
2015/03/10-07:12,23.88645000,59.96443000
2015/03/10-07:12,23.88352000,59.94741000
2015/03/10-07:12,23.88026000,59.93055000
2015/03/10-07:12,23.86973000,59.89901000
2015/03/10-07:12,23.86408000,59.88417000
2015/03/10-07:12,23.85850000,59.86930000
2015/03/10-07:12,23.85244000,59.85504000
2015/03/10-07:12,23.84712000,59.84026000
2015/03/10-07:12,23.83912000,59.81021000
2015/03/10-07:12,23.83886000,59.79426000
2015/03/10-07:12,23.83948000,59.77811000
2015/03/10-07:12,23.83965000,59.76199000
2015/03/10-07:12,23.83460000,59.73168000
